commit	mission_reward	secondary_rewards	steps	status	description
baseline	0.66	aligned=8/held=5633/hearts=6	1000	keep	baseline 8A (3 aligners+5 miners) cloud LLM; hub oxygen deficit; EPISODE_RUNNER_USE_ISOLATED_VENVS=0 required
15f24c4	0.49	aligned=6/held=3891/hearts=6/silicon=34/germanium=20	1000	discard	cross-role v1: all-LLM role selection; all 8 agents start as miners then switch; 2 accidental scramblers; team-state not in prompt
1203ca6	0.20	aligned=1/held=963/hearts=3/silicon=12	1000	discard	cross-role v2: num_aligners=3 bootstrap + team context; stuck_threshold=30 causes 300-step gear_up timeouts; LLM gear-switching wastes most of episode
fccab42	0.43	aligned=8/held=3334/hearts=5/oxygen=41	1000	discard	cross-role v3: role-stable (LLM only picks within-role skills); bootstrap fires once only; 5/8 agents fail gear_up → explore forever; only 2 aligners + 1 miner active
013d5e7	0.10	aligned=0/held=0/hearts=2/silicon=50	1000	discard	cross-role v4: gear_up retry (5x); retry wasted entire episode + agents got scout gear accidentally; 0 junctions aligned
a701f3b	0.10	aligned=0/held=0/hearts=2	1000	discard	cross-role v5: fallback gear (1 preferred+1 fallback); same scout gear bug; 0 aligners; 5 miners; 0 junctions
86c7b98	0.39	aligned=5/held=2924/hearts=5/oxygen=40	1000	discard	cross-role v6: gear_up_completed guard; fallback works (agent0→miner); 2 aligners+5 miners; BUT 4/5 miners lose gear to scout during aligner-style explore
dc28117	0.44	aligned=8/held=3428/hearts=7/oxygen=59	1000	keep	cross-role v7: miner-specific explore; miners use miner._explore_near_hub not aligner's; scout 3→1; 8 aligned (=baseline); best cross-role so far
7df4d41	0.39	aligned=5/held=2921/hearts=5/oxygen=40/silicon=40	1000	discard	cross-role v8: re-acquire aligner gear after loss; no improvement; 1 aligner still loses gear
e0784ae	0.55	aligned=12/held=4500/hearts=8	1000	keep	cross-role v9: 400-step timeout for worker skills; 93% reduction in deposit timeouts; 12 junctions aligned (>baseline!); best cross-role so far
cd52915	0.48	aligned=7/held=?/hearts=9	1000	discard	cross-role v10: miner re_acquire + rescue retry; ALL 5 miners lost gear; re_acquire sent miners through scrambler station (800 wasted steps per agent)
35a0d69	0.30	aligned=3/held=1979/hearts=5	1000	discard	cross-role v10-new: num_aligners=5; aligner station congestion; only 4 miners; resource shortage → only 3 aligned; BUT: agent3 SUCCEEDED at aligner gear when preferred=aligner (key finding)
9a16479	0.32	aligned=4/held=2217/hearts=5	1000	discard	cross-role v11: num_aligners=4; 3 aligners succeed but hub depletes from 3× demand with 4 miners; agent3 stuck in get_heart stale loop; 2:5 aligner:miner is optimal
d0d4290	0.45	aligned=9/held=?/hearts=7	1000	discard	cross-role v12: gear_up timeout 200→300 steps; agent3 STILL fails (truly isolated from stations); 200 more wasted steps → worse than v9
e83bb57	0.41	aligned=5/held=?/hearts=5	1000	discard	cross-role v13: scripted skill selection (bypass LLM for obvious actions); caused infinite retry loops; status.max_steps_without_motion=195.5 vs 12 in v9; LLM diversity is essential
4e5d2fa	0.23	aligned=2/held=?/hearts=5	1000	discard	cross-role v14: enemy junction routing (neutral|enemy pool); run1=0.23 run2=0.10; bootstrap give-up after 2 failures causes 0-aligner catastrophes from LLM timing variability
f2163f7	0.27	aligned=?/held=?	1000	discard	cross-role v15: infinite bootstrap retry (cycle preferred/fallback); 1 aligner vs 0; still bad due to scrambler contamination blocking bootstrap (gear!=none so condition misses)
625cc70	0.20	aligned=?/held=?	1000	discard	cross-role v16: bootstrap fires for scrambler/scout; gear_up_completed=True after miner fallback then recontaminated blocks further retries; LLM prompt had no gear_up skills for scrambler gear
