commit	mission_reward	secondary_rewards	steps	status	description
7d3ac20	0.10	aligned=0/total=0.30	1000	completed	fix-skill-completion-loops: 3 aligners 0 miners; agent0=22moves, agent1=14moves+gear+8hearts, agent2=61moves; 0 junctions aligned; navigation BFS deadlock dominant issue
5859a9f	0.20	aligned=1/held=959/total=0.80	1000	completed	navigation-shake-greedy-gearup: 3 LLM aligners 1 scripted miner; move.success=359/agent move.failed=633/agent; aligner.gained=0.25/agent(1/4 got gear); heart.gained=0.75/agent; 1 junction aligned; max_steps_without_motion=532; 12 LLM timeouts; beats scripted 0.131 baseline
9e5a8aa	0.20	aligned=1/held=959/total=0.80	1000	completed	skill-step-timeout: same as nav_shake but more LLM calls (32 timeouts); skill timeout fires but same bottleneck: 2/3 aligners never reach station; was_stuck fix not yet applied
218af61	0.21	aligned=2/held=?/total=0.84	1000	completed	was_stuck-timeout-fix: was_stuck now detects skill timeouts; align_neutral→unstuck override fires; 2 junctions aligned (vs 1 before); still max_stuck=533; 47 LLM timeouts
11e5ac0	0.21	aligned=2/held=1054/total=0.84	1000	completed	no-hazard-avoid-when-equipped: skip hazard avoidance in align_neutral/get_heart BFS; 2 junctions aligned; aligner.gained=0.25 (1/4 still); 47 LLM timeouts; same bottleneck: agents can't find path through unexplored territory
c05ef9f	0.21	aligned=2/held=1054/total=0.84	1000	completed	greedy-nav-fallback: DEAD CODE BUG - _move_toward_target never returns noop so greedy never called; same result as prev; forget-stuck-junction committed separately
95c7706	0.40	aligned=9/held=3046/total=1.60	1000	completed	greedy-bfs-fallback+forget-stuck-junction: 9 junctions aligned (vs 2), 3046 held-steps (vs 1054); heart.gained=1.12/agent; 423 moves/agent; forget-stuck-junction and real greedy nav both working; 3x better than scripted baseline!
(unstuck16)	0.20	aligned=1/held=959/total=0.80	1000	completed	unstuck_horizon=16 is WORSE: longer unstuck wastes steps; keep unstuck_horizon=4
af41f51	0.63	aligned=16/held=5326/total=2.52	1000	completed	gear-up-fix-all-aligners: all 3/3 aligners now gear up (aligner.gained=0.38 vs 0.25 before); root cause: BFS targeting blocked station cell + _explore_near_hub sending agent outside hub; fix: _navigate_to_station targets adjacent cell + expected station at hub_center+(4,-3); 357 LLM timeouts; 57.5pct better than prev best 0.40!
0f7a64a	0.69	aligned=22/held=5894/total=2.76	1000	completed	get-heart-optimistic-bfs+max-cells-20k: hub visible but BFS failed → optimistic BFS + increased max_cells 5k→20k for 100x100 map; 22 junctions aligned (vs 16), 5894 held-steps (vs 5326); 38 skill timeouts; 351 LLM timeouts; new best 0.69
